Date,Confirmed,pred
2020-06-20,41204,41686.84913823449
2020-06-21,42785,43686.91923074961
2020-06-22,44931,45545.63843126387
2020-06-23,47203,47388.759391326326
2020-06-24,49851,49232.4139238574
2020-06-25,52457,51363.68652664012
2020-06-26,55343,53616.47951175283
2020-06-27,57744,55914.83117037742
2020-06-28,59933,58149.20428317112
2020-06-29,62268,60253.90242415248
2020-06-30,64530,62275.263832133925
2020-07-01,67197,64297.458301052044
2020-07-02,69941,66438.92444119362
2020-07-03,72786,68697.51205694994
2020-07-04,75376,71008.39398821967
2020-07-05,77815,73269.25275176152
2020-07-06,80447,75416.52942988672
2020-07-07,83426,77472.41897974066
2020-07-08,87030,79522.45443348645
2020-07-09,90693,81658.56671419843
2020-07-10,94060,83904.20708299786
2020-07-11,97509,86205.35697809946
2020-07-12,100166,88468.94867876556
2020-07-13,103265,90631.53509911893
2020-07-14,106910,92704.80653341452
2020-07-15,111146,94764.69725944634
2020-07-16,114783,96895.42663929414
2020-07-17,119301,99127.20957732115
2020-07-18,122524,101416.44944328287
2020-07-19,126755,103678.94195921054
2020-07-20,130774,105852.04775374541
2020-07-21,136118,107939.63487393023
2020-07-22,141900,110007.51321689415
2020-07-23,148027,112134.17717385502
2020-07-24,153520,114353.39304575614
2020-07-25,158334,116630.92094388846
2020-07-26,162526,118891.06777349206
2020-07-27,167416,121072.69133216813
