Date,Confirmed,pred
2020-06-20,49731,50267.08273971704
2020-06-21,50640,50803.16547943408
2020-06-22,50640,51339.248219151115
2020-06-23,51643,51875.33095886815
2020-06-24,51643,52411.41369858519
2020-06-25,53156,52947.49643830222
2020-06-26,53856,53483.57917801926
2020-06-27,54574,54019.661917736295
2020-06-28,55255,54555.74465745333
2020-06-29,55665,55091.82739717037
2020-06-30,56432,55627.9101368874
2020-07-01,58257,56163.99287660444
2020-07-02,59468,56700.075616321476
2020-07-03,60657,57236.15835603851
2020-07-04,61535,57772.24109575555
2020-07-05,61958,58308.32383547258
2020-07-06,62380,58844.40657518962
2020-07-07,63245,59380.489314906656
2020-07-08,63245,59916.57205462369
2020-07-09,64221,60452.65479434073
2020-07-10,65018,60988.737534057764
2020-07-11,67209,61524.8202737748
2020-07-12,67870,62060.903013491836
2020-07-13,68459,62596.98575320887
2020-07-14,69570,63133.06849292591
2020-07-15,70329,63669.151232642944
2020-07-16,71365,64205.23397235998
2020-07-17,72444,64741.316712077016
2020-07-18,73382,65277.39945179405
2020-07-19,74013,65813.4821915111
2020-07-20,74620,66349.56493122813
2020-07-21,76217,66885.64767094517
2020-07-22,77257,67421.7304106622
2020-07-23,78148,67957.81315037924
2020-07-24,79049,68493.89589009628
2020-07-25,80036,69029.97862981331
2020-07-26,80694,69566.06136953035
2020-07-27,81161,70102.14410924738
