Date,Confirmed,pred
2020-06-20,175202,174989.10904025915
2020-06-21,180545,179371.87678443143
2020-06-22,185122,183391.16946088875
2020-06-23,191410,188378.416107912
2020-06-24,196847,193911.41639491124
2020-06-25,202951,199482.81676451134
2020-06-26,208392,205270.19680638783
2020-06-27,212802,209790.8778727785
2020-06-28,216852,214733.6696850569
2020-06-29,220657,219123.17474597192
2020-06-30,226089,224444.51469306007
2020-07-01,231770,230068.762357343
2020-07-02,238511,236207.06166654328
2020-07-03,245251,241947.25303398448
2020-07-04,252165,247159.76375122665
2020-07-05,256848,252346.68081842473
2020-07-06,261750,257206.55673464152
2020-07-07,268008,262852.7256756757
2020-07-08,275003,268910.76366796874
2020-07-09,282283,275062.7597516828
2020-07-10,289174,281309.9644709633
2020-07-11,295268,286618.27460853796
2020-07-12,299750,292215.84274296183
2020-07-13,304435,297391.184064539
2020-07-14,311486,303313.14717325324
2020-07-15,317635,309497.77359739307
2020-07-16,324041,316046.40875619167
2020-07-17,331298,322332.8517967633
2020-07-18,338913,328129.26316008717
2020-07-19,344224,333947.33731504815
2020-07-20,349396,339484.69773145614
2020-07-21,356255,345664.0704979429
2020-07-22,362274,352162.62882453366
2020-07-23,370712,358775.0992370769
2020-07-24,378285,365417.18863008876
2020-07-25,385036,371347.54487954837
2020-07-26,390516,377478.8278957305
2020-07-27,395489,383281.84235936427
