Date,Confirmed,pred
2020-06-20,245938,245957.16898950367
2020-06-21,246272,246357.4354558371
2020-06-22,246504,246774.45111744857
2020-06-23,246752,247111.9158934957
2020-06-24,247086,247544.29628154865
2020-06-25,247486,247915.26489281785
2020-06-26,247905,248306.03529152405
2020-06-27,248469,248695.54526521155
2020-06-28,248770,249091.10562711742
2020-06-29,248970,249470.14183902947
2020-06-30,249271,249868.13196412197
2020-07-01,249659,250253.40765917228
2020-07-02,250103,250643.6101859638
2020-07-03,250545,251032.5873154243
2020-07-04,250545,251423.34474257374
2020-07-05,250545,251810.61958038155
2020-07-06,251789,252201.72788700697
2020-07-07,252130,252590.18251593166
2020-07-08,252513,252979.82141709008
2020-07-09,253056,253369.01876942863
2020-07-10,253908,253758.6932255411
2020-07-11,253908,254147.6244836816
2020-07-12,253908,254537.34078570738
2020-07-13,255953,254926.4988806125
2020-07-14,256619,255315.9353414671
2020-07-15,257494,255705.24336112218
2020-07-16,258855,256094.6726328384
2020-07-17,260255,256483.9416438449
2020-07-18,260255,256873.37334004656
2020-07-19,260255,257262.68674153203
2020-07-20,264836,257652.06458806837
2020-07-21,266194,258041.40845472924
2020-07-22,267551,258430.7821127085
2020-07-23,270166,258820.12091888045
2020-07-24,272421,259209.49381205474
2020-07-25,272421,259598.84146248866
2020-07-26,272421,259988.203875628
2020-07-27,272421,260377.55776109596
