,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
6,2020-01-22,Argentina,0,0,0,0,0,0,0,Americas
35,2020-01-22,Chile,0,0,0,0,0,0,0,Americas
51,2020-01-22,Ecuador,0,0,0,0,0,0,0,Americas
111,2020-01-22,Mexico,0,0,0,0,0,0,0,Americas
157,2020-01-22,Spain,0,0,0,0,0,0,0,Europe
193,2020-01-23,Argentina,0,0,0,0,0,0,0,Americas
222,2020-01-23,Chile,0,0,0,0,0,0,0,Americas
238,2020-01-23,Ecuador,0,0,0,0,0,0,0,Americas
298,2020-01-23,Mexico,0,0,0,0,0,0,0,Americas
344,2020-01-23,Spain,0,0,0,0,0,0,0,Europe
380,2020-01-24,Argentina,0,0,0,0,0,0,0,Americas
409,2020-01-24,Chile,0,0,0,0,0,0,0,Americas
425,2020-01-24,Ecuador,0,0,0,0,0,0,0,Americas
485,2020-01-24,Mexico,0,0,0,0,0,0,0,Americas
531,2020-01-24,Spain,0,0,0,0,0,0,0,Europe
567,2020-01-25,Argentina,0,0,0,0,0,0,0,Americas
596,2020-01-25,Chile,0,0,0,0,0,0,0,Americas
612,2020-01-25,Ecuador,0,0,0,0,0,0,0,Americas
672,2020-01-25,Mexico,0,0,0,0,0,0,0,Americas
718,2020-01-25,Spain,0,0,0,0,0,0,0,Europe
754,2020-01-26,Argentina,0,0,0,0,0,0,0,Americas
783,2020-01-26,Chile,0,0,0,0,0,0,0,Americas
799,2020-01-26,Ecuador,0,0,0,0,0,0,0,Americas
859,2020-01-26,Mexico,0,0,0,0,0,0,0,Americas
905,2020-01-26,Spain,0,0,0,0,0,0,0,Europe
941,2020-01-27,Argentina,0,0,0,0,0,0,0,Americas
970,2020-01-27,Chile,0,0,0,0,0,0,0,Americas
986,2020-01-27,Ecuador,0,0,0,0,0,0,0,Americas
1046,2020-01-27,Mexico,0,0,0,0,0,0,0,Americas
1092,2020-01-27,Spain,0,0,0,0,0,0,0,Europe
1128,2020-01-28,Argentina,0,0,0,0,0,0,0,Americas
1157,2020-01-28,Chile,0,0,0,0,0,0,0,Americas
1173,2020-01-28,Ecuador,0,0,0,0,0,0,0,Americas
